enro_animal_id,redcap_data_access_group,enro_sex,enro_model,txas_reperfusion,txas_reperfusion_actual,corner_bl_conduct,corner_bl_conduct_rsn,corner_d7_conduct,corner_d7_conduct_rsn,behav_d30_conduct,behav_d30_conduct_rsn,corner_d30_conduct,corner_d30_conduct_rsn,crt_bl_right_s9,crt_bl_left_s9,crt_d7_right_s9,crt_d7_left_s9,crt_d30_right_s9,crt_d30_left_s9,postop_d1_nds_score,postop_d2_nds_score,eos_nds_score,neuro_d30_conduct,neuro_d30_conduct_rsn,neuro_d30_spont,neuro_d30_circling,neuro_d30_symmetry,neuro_d30_outstretching,neuro_d30_trunk,neuro_d30_vibrissae,neuro_d30_face,neuro_d30_beam,neuro_d30_climb,srg_clot_length,rand_clot_length
WX5834,dk,0,5,1,1,1,,0,1,0,1,,,6,4,,,,,2,,,,,,,,,,,,,,4,4
WX5835,dk,1,5,2,2,1,,1,,1,,1,,1,9,10,0,9,1,2,2,1,1,,0,0,0,1,0,0,0,0,0,4,4
WX5838,dk,0,5,2,2,1,,1,,1,,1,,4,6,5,5,6,4,0,0,0,1,,0,0,0,0,0,0,0,0,0,4,4
WX5839,dk,1,5,1,1,1,,1,,1,,1,,2,3,4,1,3,1,1,1,0,1,,0,0,0,0,0,0,0,0,0,4,4
WX5852,ag,1,5,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WX5853,ag,1,5,2,2,1,,1,,1,,1,,6,4,7,0,4,1,2,2,2,1,,0,1,1,1,2,2,2,3,0,4,4
WX5854,ag,0,5,2,2,1,,1,,1,,1,,5,5,6,4,3,2,2,2,2,1,,1,1,1,1,1,2,2,3,0,4,4
WX5855,ag,0,5,2,2,1,,0,1,0,1,,,3,7,,,,,,,,,,,,,,,,,,,4,4
WX6555,mg,1,5,2,2,1,,1,,0,1,,,5,5,3,6,,,2,2,,,,,,,,,,,,,3,3
WX6556,mg,0,5,2,2,1,,1,,1,,1,,1,9,2,8,5,5,2,2,1,1,,0,0,2,1,1,0,0,3,0,3,3
WX6563,mg,1,5,1,1,1,,1,,1,,1,,6,4,3,7,4,6,1,1,0,1,,0,0,0,0,0,0,0,3,0,3,3
WX6564,mg,0,5,2,2,1,,1,,1,,1,,5,5,8,2,8,2,2,2,1,1,,1,0,0,0,0,0,0,3,1,3,3
WX6573,yl,1,5,2,2,1,,1,,1,,1,,7,3,3,1,5,0,1,1,0,1,,0,1,0,0,0,1,0,3,0,3,3
WX6577,yl,1,5,1,1,1,,0,1,0,1,,,5,5,,,,,,,,,,,,,,,,,,,3,3
WX6618,dk,0,5,2,2,1,,1,,1,,1,,1,9,2,8,1,9,1,0,1,1,,0,1,0,0,0,0,0,0,0,3,3
WX6619,dk,1,5,1,1,1,,1,,1,,1,,1,9,3,7,4,6,2,2,1,1,,0,1,1,0,1,0,0,0,0,3,3
WX6624,dk,0,5,1,1,1,,0,1,0,1,,,4,5,,,,,,,,,,,,,,,,,,,3,3
WX6625,dk,1,5,2,2,1,,1,,1,,1,,5,5,10,0,9,1,2,2,2,1,,0,1,1,1,1,1,1,1,0,3,3
WX6637,ag,0,5,1,1,1,,1,,1,,1,,3,7,7,0,4,6,2,2,2,1,,0,1,1,1,2,1,2,3,0,4,4
WX6638,ag,1,5,1,1,1,,0,1,0,1,,,7,3,,,,,1,1,,,,,,,,,,,,,3,3
WX6639,ag,0,5,1,1,1,,1,,1,,1,,2,8,5,5,5,5,2,1,0,1,,0,0,0,0,2,0,0,0,0,3,3
WX6640,ag,1,5,1,1,1,,1,,1,,1,,6,2,5,5,5,5,2,1,2,1,,0,1,0,1,1,1,1,3,0,4,4
WX6642,ag,0,5,2,2,1,,1,,1,,1,,5,3,3,0,10,0,2,2,2,1,,1,1,1,1,2,2,2,3,0,4,4
WX6644,ag,1,5,2,2,1,,1,,1,,1,,6,4,8,0,5,5,2,1,0,1,,2,0,1,0,2,1,1,3,0,4,4
WX6646,ag,0,5,1,1,1,,0,1,0,1,,,3,7,,,,,3,,,,,,,,,,,,,,4,4
WX6649,ag,0,5,2,2,1,,0,1,0,1,,,4,6,,,,,,,,,,,,,,,,,,,3,3
