"","enro_animal_id"
"1","BB0325"
"2","BB0326"
"3","BB0327"
"4","BB0332"
"5","BB0333"
"6","BM4063"
"7","BM4064"
"8","BM4079"
"9","BW4831"
"10","BW4832"
"11","BW4847"
"12","BW4848"
"13","BW4849"
"14","BW5451"
"15","BW5452"
"16","BW5454"
"17","BW5455"
"18","BW5457"
"19","BW5459"
"20","BW5460"
"21","BW5461"
"22","BW5692"
"23","BW5693"
"24","BW5694"
"25","BW5704"
"26","BW5706"
"27","CC9890"
"28","CC9891"
"29","CC9892"
"30","CC9893"
"31","CC9894"
"32","CC9895"
"33","CC9916"
"34","CC9917"
"35","CC9918"
"36","CC9919"
"37","CD0516"
"38","CD0517"
"39","CD0523"
"40","CD0698"
"41","CD0699"
"42","CD0700"
"43","CD0701"
"44","CD0710"
"45","CD0711"
"46","CD0712"
"47","CD0713"
"48","CD0729"
"49","GF5961"
"50","GF5962"
"51","GF5963"
"52","GF5964"
"53","GF5974"
"54","GF5975"
"55","GF5976"
"56","GF6014"
"57","GF6015"
"58","GT2260"
"59","GT2266"
"60","GT2279"
"61","HC7837"
"62","HC7838"
"63","HC7842"
"64","HC7843"
"65","HC7875"
"66","HC7876"
"67","HC7882"
"68","HC7883"
"69","HC7884"
"70","HC8331"
"71","HC8333"
"72","HC8334"
"73","HC8335"
"74","HC8336"
"75","HC8337"
"76","HC8338"
"77","HC8339"
"78","HC8340"
"79","HC8341"
"80","HG1234"
"81","HG1239"
"82","HG1246"
"83","HG1254"
"84","HG1265"
"85","HG1268"
"86","HG1330"
"87","HG1331"
"88","HG1334"
"89","HG1335"
"90","HG1340"
"91","HG1341"
"92","HG1342"
"93","HG1354"
"94","HG1360"
"95","HG1361"
"96","HG1362"
"97","HG1365"
"98","HG1366"
"99","HG1367"
"100","HG1432"
"101","HG1433"
"102","HG1434"
"103","HG1435"
"104","HG1453"
"105","LJ5661"
"106","LJ5662"
"107","LJ5663"
"108","LJ5668"
"109","LJ5670"
"110","LJ5675"
"111","LJ5676"
"112","LW7390"
"113","LW7395"
"114","MJ5135"
"115","MJ5137"
"116","MJ5138"
"117","MJ5139"
"118","MJ5141"
"119","MJ5142"
"120","MJ5174"
"121","MJ5175"
"122","MJ5176"
"123","MJ5182"
"124","MJ5183"
"125","MJ5184"
"126","MJ5831"
"127","MJ5832"
"128","MJ5833"
"129","MJ5834"
"130","MJ5835"
"131","MJ5836"
"132","MJ5837"
"133","MJ5838"
"134","MJ5839"
"135","MJ5840"
"136","MJ5841"
"137","MN4910"
"138","MN4911"
"139","MN4924"
"140","MN4925"
"141","MN4940"
"142","MN4941"
"143","MN4943"
"144","MN4944"
"145","MN4945"
"146","MN4946"
"147","MN5635"
"148","MN5636"
"149","MN5643"
"150","MN5654"
"151","MN5665"
"152","MN5702"
"153","MN5730"
"154","MN5731"
"155","MN5732"
"156","MN5733"
"157","MN5738"
"158","MN5739"
"159","QQ3348"
"160","QQ3351"
"161","RQ9431"
"162","RQ9432"
"163","RQ9447"
"164","RQ9448"
"165","RQ9450"
"166","RQ9456"
"167","RQ9457"
"168","RQ9462"
"169","RQ9463"
"170","RR0053"
"171","RR0054"
"172","RR0055"
"173","RR0056"
"174","RR0057"
"175","RR0058"
"176","RR0059"
"177","RR0060"
"178","RR0061"
"179","RR0062"
"180","RV6518"
"181","RV6519"
"182","RV6542"
"183","RV6543"
"184","RV9457"
"185","RV9468"
"186","RV9534"
"187","RV9535"
"188","RV9545"
"189","RV9573"
"190","RV9580"
"191","RV9585"
"192","RV9586"
"193","RV9587"
"194","RV9590"
"195","RV9591"
"196","RV9598"
"197","RV9599"
"198","RV9600"
"199","RV9601"
"200","RV9610"
"201","RV9612"
"202","RV9613"
"203","RV9614"
"204","RV9615"
"205","RV9616"
"206","RV9617"
"207","RV9618"
"208","RV9619"
"209","RV9621"
"210","VV5204"
"211","VV5205"
"212","VV5206"
"213","VV5213"
"214","VV5214"
"215","VV5249"
"216","VV5258"
"217","WI2549"
"218","WI2550"
"219","WI2555"
"220","WS3717"
"221","WS3718"
"222","WS3719"
"223","WS3721"
"224","WS3722"
"225","WS3756"
"226","WS3762"
"227","WS3763"
"228","WS4351"
"229","WS4352"
"230","WS4354"
"231","WS4355"
"232","WS4356"
"233","WS4358"
"234","WS4360"
"235","WS4361"
"236","WS4362"
"237","WX5830"
"238","WX5831"
"239","WX5834"
"240","WX5835"
"241","WX5838"
"242","WX5839"
"243","WX5853"
"244","WX5854"
"245","WX5855"
"246","WX6555"
"247","WX6556"
"248","WX6563"
"249","WX6564"
"250","WX6573"
"251","WX6577"
"252","WX6618"
"253","WX6619"
"254","WX6624"
"255","WX6625"
"256","WX6637"
"257","WX6638"
"258","WX6639"
"259","WX6640"
"260","WX6642"
"261","WX6644"
"262","WX6646"
"263","WX6649"
