"","enro_animal_id","rand_conduct","srg_conduct","successful_surgery","txas_reperfusion_actual","srg_clot_length"
"125","MJ5839","Yes","Yes","Yes",NA,3
"126","MJ5840","Yes","Yes","Yes",NA,3
"127","MJ5841","Yes","Yes","Yes",NA,3
"128","MN4910","Yes","Yes","Yes",NA,3
"129","MN4911","Yes","Yes","Yes",NA,3
"130","MN4924","Yes","Yes","Yes",NA,3
"131","MN4925","Yes","Yes","Yes",NA,3
"132","MN4940","Yes","Yes","Yes",NA,4
"133","MN4941","Yes","Yes","Yes",NA,4
"134","MN4943","Yes","Yes","Yes",NA,4
"135","MN4944","Yes","Yes","Yes",NA,3
"136","MN4945","Yes","Yes","Yes",NA,3
"137","MN4946","Yes","Yes","Yes",NA,3
"138","MN5635","Yes","Yes","Yes",NA,3
"139","MN5636","Yes","Yes","Yes",NA,3
"140","MN5643","Yes","Yes","Yes",NA,3
"141","MN5654","Yes","Yes","Yes",NA,3
"142","MN5665","Yes","Yes","Yes",NA,3
"143","MN5702","Yes","Yes","Yes",NA,4
"144","MN5730","Yes","Yes","Yes",NA,4
"145","MN5731","Yes","Yes","Yes",NA,4
"146","MN5732","Yes","Yes","Yes",NA,4
"147","MN5733","Yes","Yes","Yes",NA,4
"148","MN5738","Yes","Yes","Yes",NA,4
"149","MN5739","Yes","Yes","Yes",NA,4
"150","QQ3348","Yes","Yes","Yes",NA,4
"151","QQ3351","Yes","Yes","Yes",NA,3
"152","RQ9431","Yes","Yes","Yes",NA,4
"153","RQ9432","Yes","Yes","Yes",NA,3
"154","RQ9447","Yes","Yes","Yes",NA,3
"155","RQ9448","Yes","Yes","Yes",NA,3
"156","RQ9450","Yes","Yes","Yes",NA,4
"157","RQ9457","Yes","Yes","Yes",NA,4
"158","RQ9462","Yes","Yes","Yes",NA,4
"159","RQ9463","Yes","Yes","Yes",NA,4
"160","RR0053","Yes","Yes","Yes",NA,4
"161","RR0054","Yes","Yes","Yes",NA,4
"162","RR0055","Yes","Yes","Yes",NA,4
"163","RR0056","Yes","Yes","Yes",NA,4
"164","RR0057","Yes","Yes","Yes",NA,4
"165","RR0058","Yes","Yes","Yes",NA,4
"166","RR0059","Yes","Yes","Yes",NA,3
"167","RR0060","Yes","Yes","Yes",NA,3
"168","RR0061","Yes","Yes","Yes",NA,3
"169","RR0062","Yes","Yes","Yes",NA,3
"170","RV6518","Yes","Yes","Yes",NA,4
"171","RV6519","Yes","Yes","Yes",NA,4
"172","RV6542","Yes","Yes","Yes",NA,4
"173","RV6543","Yes","Yes","Yes",NA,4
"174","RV9457","Yes","Yes","Yes",NA,3
"175","RV9534","Yes","Yes","Yes",NA,4
"176","RV9535","Yes","Yes","Yes",NA,3
"177","RV9545","Yes","Yes","Yes",NA,3
"178","RV9573","Yes","Yes","Yes",NA,4
"179","RV9580","Yes","Yes","Yes",NA,4
"180","RV9585","Yes","Yes","Yes",NA,4
"181","RV9586","Yes","Yes","Yes",NA,4
"182","RV9587","Yes","Yes","Yes",NA,4
"183","RV9590","Yes","Yes","Yes",NA,3
"184","RV9591","Yes","Yes","Yes",NA,3
"185","RV9598","Yes","Yes","Yes",NA,3
"186","RV9599","Yes","Yes","Yes",NA,3
"187","RV9600","Yes","Yes","Yes",NA,3
"188","RV9601","Yes","Yes","Yes",NA,3
"189","RV9610","Yes","Yes","Yes",NA,4
"190","RV9612","Yes","Yes","Yes",NA,4
"191","RV9613","Yes","Yes","Yes",NA,4
"192","RV9614","Yes","Yes","Yes",NA,4
"193","RV9615","Yes","Yes","Yes",NA,4
"194","RV9616","Yes","Yes","Yes",NA,4
"195","RV9617","Yes","Yes","Yes",NA,3
"196","RV9618","Yes","Yes","Yes",NA,3
"197","RV9619","Yes","Yes","Yes",NA,3
"198","RV9621","Yes","Yes","Yes",NA,3
"199","VV5204","Yes","Yes","Yes",NA,4
"200","VV5205","Yes","Yes","Yes",NA,4
"201","VV5206","Yes","Yes","Yes",NA,4
"202","VV5213","Yes","Yes","Yes",NA,4
"203","VV5214","Yes","Yes","Yes",NA,4
"204","VV5249","Yes","Yes","Yes",NA,3
"205","VV5258","Yes","Yes","Yes",NA,3
"206","WI2549","Yes","Yes","Yes",NA,4
"207","WI2550","Yes","Yes","Yes",NA,4
"208","WI2555","Yes","Yes","Yes",NA,4
"209","WS3717","Yes","Yes","Yes",NA,3
"210","WS3718","Yes","Yes","Yes",NA,3
"211","WS3719","Yes","Yes","Yes",NA,4
"212","WS3721","Yes","Yes","Yes",NA,3
"213","WS3722","Yes","Yes","Yes",NA,3
"214","WS3756","Yes","Yes","Yes",NA,4
"215","WS3762","Yes","Yes","Yes",NA,4
"216","WS3763","Yes","Yes","Yes",NA,4
"217","WS4351","Yes","Yes","Yes",NA,4
"218","WS4352","Yes","Yes","Yes",NA,4
"219","WS4354","Yes","Yes","Yes",NA,4
"220","WS4355","Yes","Yes","Yes",NA,4
"221","WS4356","Yes","Yes","Yes",NA,4
"222","WS4358","Yes","Yes","Yes",NA,4
"223","WS4360","Yes","Yes","Yes",NA,3
"224","WS4361","Yes","Yes","Yes",NA,3
"225","WS4362","Yes","Yes","Yes",NA,3
"226","WX5830","Yes","Yes","Yes",NA,4
"227","WX5831","Yes","Yes","Yes",NA,4
"228","WX5834","Yes","Yes","Yes",NA,4
"229","WX5835","Yes","Yes","Yes",NA,4
"230","WX5838","Yes","Yes","Yes",NA,4
