"","enro_animal_id","rand_conduct","srg_conduct","successful_surgery","txas_reperfusion_actual","srg_clot_length","eos_day_diff_srg_death","behav_d30_conduct"
"108","MN5733","Yes","Yes","Yes",NA,4,30,1
"109","MN5738","Yes","Yes","Yes",NA,4,30,1
"110","MN5739","Yes","Yes","Yes",NA,4,30,1
"111","RQ9431","Yes","Yes","Yes",NA,4,30,1
"112","RQ9447","Yes","Yes","Yes",NA,3,36,1
"113","RQ9448","Yes","Yes","Yes",NA,3,36,1
"114","RQ9450","Yes","Yes","Yes",NA,4,36,1
"115","RQ9462","Yes","Yes","Yes",NA,4,33,1
"116","RR0053","Yes","Yes","Yes",NA,4,42,1
"117","RR0055","Yes","Yes","Yes",NA,4,29,1
"118","RR0056","Yes","Yes","Yes",NA,4,31,1
"119","RR0057","Yes","Yes","Yes",NA,4,29,1
"120","RR0058","Yes","Yes","Yes",NA,4,29,1
"121","RR0060","Yes","Yes","Yes",NA,3,30,1
"122","RR0061","Yes","Yes","Yes",NA,3,29,1
"123","RR0062","Yes","Yes","Yes",NA,3,29,1
"124","RV6518","Yes","Yes","Yes",NA,4,30,1
"125","RV6519","Yes","Yes","Yes",NA,4,29,1
"126","RV6542","Yes","Yes","Yes",NA,4,29,1
"127","RV9457","Yes","Yes","Yes",NA,3,41,1
"128","RV9534","Yes","Yes","Yes",NA,4,30,1
"129","RV9535","Yes","Yes","Yes",NA,3,31,1
"130","RV9545","Yes","Yes","Yes",NA,3,30,1
"131","RV9573","Yes","Yes","Yes",NA,4,41,1
"132","RV9580","Yes","Yes","Yes",NA,4,38,1
"133","RV9587","Yes","Yes","Yes",NA,4,45,1
"134","RV9590","Yes","Yes","Yes",NA,3,30,1
"135","RV9591","Yes","Yes","Yes",NA,3,30,1
"136","RV9599","Yes","Yes","Yes",NA,3,31,1
"137","RV9600","Yes","Yes","Yes",NA,3,30,1
"138","RV9601","Yes","Yes","Yes",NA,3,30,1
"139","RV9614","Yes","Yes","Yes",NA,4,31,1
"140","RV9615","Yes","Yes","Yes",NA,4,32,1
"141","RV9617","Yes","Yes","Yes",NA,3,31,1
